country_code,reference_date_1_january_31_december,births_thousands,variant
12,1996,688.187,Estimates
12,1997,661.315,Estimates
12,1998,638.02,Estimates
12,1999,620.107,Estimates
12,2000,609.895,Estimates
12,2001,609.36,Estimates
12,2002,618.533,Estimates
12,2003,636.715,Estimates
12,2004,663.011,Estimates
12,2005,696.376,Estimates
12,2006,735.414,Estimates
12,2007,777.471,Estimates
12,2008,819.552,Estimates
12,2009,859.023,Estimates
12,2010,892.871,Estimates
12,2011,918.607,Estimates
12,2012,935.699,Estimates
12,2013,944.18,Estimates
12,2014,944.133,Estimates
12,2015,936.377,Estimates
12,2015,936.377,Medium variant
12,2016,922.473,Medium variant
12,2017,904.921,Medium variant
12,2018,885.998,Medium variant
12,2019,867.092,Medium variant
12,2020,849.06,Medium variant
12,2021,832.076,Medium variant
12,2022,815.595,Medium variant
12,2023,799.359,Medium variant
12,2024,783.756,Medium variant
12,2025,769.169,Medium variant
12,2026,755.905,Medium variant
12,2027,744.133,Medium variant
12,2028,734.024,Medium variant
12,2029,725.778,Medium variant
12,2030,719.598,Medium variant
12,2031,715.603,Medium variant
12,2032,713.639,Medium variant
12,2033,713.489,Medium variant
12,2034,714.973,Medium variant
12,2035,717.976,Medium variant
12,2036,722.401,Medium variant
12,2037,727.994,Medium variant
12,2038,734.396,Medium variant
12,2039,741.213,Medium variant
12,2040,748.111,Medium variant
12,2041,754.846,Medium variant
12,2042,761.213,Medium variant
12,2043,766.931,Medium variant
12,2044,771.656,Medium variant
12,2045,775.021,Medium variant
12,2046,776.749,Medium variant
12,2047,776.817,Medium variant
12,2048,775.261,Medium variant
12,2049,772.09,Medium variant
12,2050,767.301,Medium variant
12,2051,760.941,Medium variant
12,2052,753.297,Medium variant
12,2053,744.735,Medium variant
12,2054,735.597,Medium variant
12,2055,726.21,Medium variant
12,2056,716.84,Medium variant
12,2057,707.697,Medium variant
12,2058,699.019,Medium variant
12,2059,691.07,Medium variant
12,2060,684.081,Medium variant
12,2061,678.183,Medium variant
12,2062,673.314,Medium variant
12,2063,669.401,Medium variant
12,2064,666.44,Medium variant
12,2065,664.438,Medium variant
12,2066,663.377,Medium variant
12,2067,663.127,Medium variant
12,2068,663.514,Medium variant
12,2069,664.371,Medium variant
12,2070,665.554,Medium variant
12,2071,666.952,Medium variant
12,2072,668.455,Medium variant
12,2073,669.916,Medium variant
12,2074,671.168,Medium variant
12,2075,672.052,Medium variant
12,2076,672.458,Medium variant
12,2077,672.366,Medium variant
12,2078,671.76,Medium variant
12,2079,670.596,Medium variant
12,2080,668.837,Medium variant
12,2081,666.476,Medium variant
12,2082,663.588,Medium variant
12,2083,660.263,Medium variant
12,2084,656.571,Medium variant
12,2085,652.554,Medium variant
12,2086,648.236,Medium variant
12,2087,643.679,Medium variant
12,2088,638.979,Medium variant
12,2089,634.256,Medium variant
12,2090,629.628,Medium variant
12,2091,625.198,Medium variant
12,2092,621.046,Medium variant
12,2093,617.236,Medium variant
12,2094,613.811,Medium variant
12,2095,610.801,Medium variant
12,2096,608.224,Medium variant
12,2097,606.084,Medium variant
12,2098,604.384,Medium variant
12,2099,603.122,Medium variant
24,1950,248.843,Estimates
24,1951,250.952,Estimates
24,1952,255.148,Estimates
24,1953,259.296,Estimates
24,1954,263.398,Estimates
24,1955,267.453,Estimates
24,1956,271.456,Estimates
24,1957,275.412,Estimates
24,1958,279.323,Estimates
24,1959,283.191,Estimates
24,1960,287.024,Estimates
24,1961,290.843,Estimates
24,1962,294.686,Estimates
24,1963,298.617,Estimates
24,1964,302.722,Estimates
24,1965,307.076,Estimates
24,1966,311.74,Estimates
24,1967,316.783,Estimates
24,1968,322.292,Estimates
24,1969,328.361,Estimates
24,1970,335.087,Estimates
24,1971,342.544,Estimates
24,1972,350.742,Estimates
24,1973,359.681,Estimates
24,1974,369.371,Estimates
24,1975,379.825,Estimates
24,1976,391.04,Estimates
24,1977,402.952,Estimates
24,1978,415.474,Estimates
24,1979,428.528,Estimates
24,1980,442.027,Estimates
24,1981,455.89,Estimates
24,1982,470.063,Estimates
24,1983,484.492,Estimates
24,1984,499.133,Estimates
24,1985,513.945,Estimates
24,1986,528.916,Estimates
24,1987,544.088,Estimates
24,1988,559.513,Estimates
24,1989,575.224,Estimates
24,1990,591.26,Estimates
24,1991,607.663,Estimates
24,1992,624.468,Estimates
24,1993,641.71,Estimates
24,1994,659.412,Estimates
24,1995,677.555,Estimates
24,1996,696.089,Estimates
24,1997,714.996,Estimates
24,1998,734.301,Estimates
24,1999,754.071,Estimates
24,2000,774.502,Estimates
24,2001,795.834,Estimates
24,2002,818.158,Estimates
24,2003,841.444,Estimates
24,2004,865.557,Estimates
24,2005,890.209,Estimates
24,2006,915.033,Estimates
24,2007,939.691,Estimates
24,2008,963.945,Estimates
24,2009,987.705,Estimates
24,2010,1011.005,Estimates
24,2011,1034.009,Estimates
24,2012,1057.02,Estimates
24,2013,1080.284,Estimates
24,2014,1103.901,Estimates
24,2015,1127.928,Estimates
24,2015,1127.928,Medium variant
24,2016,1152.358,Medium variant
24,2017,1177.093,Medium variant
24,2018,1202.05,Medium variant
24,2019,1227.201,Medium variant
24,2020,1252.555,Medium variant
24,2021,1278.136,Medium variant
24,2022,1303.934,Medium variant
24,2023,1329.903,Medium variant
24,2024,1355.967,Medium variant
24,2025,1382.064,Medium variant
24,2026,1408.135,Medium variant
24,2027,1434.099,Medium variant
24,2028,1459.849,Medium variant
24,2029,1485.277,Medium variant
24,2030,1510.266,Medium variant
24,2031,1534.727,Medium variant
24,2032,1558.631,Medium variant
24,2033,1581.965,Medium variant
24,2034,1604.705,Medium variant
24,2035,1626.857,Medium variant
24,2036,1648.454,Medium variant
24,2037,1669.567,Medium variant
24,2038,1690.26,Medium variant
24,2039,1710.565,Medium variant
24,2040,1730.492,Medium variant
24,2041,1750.032,Medium variant
24,2042,1769.174,Medium variant
24,2043,1787.927,Medium variant
24,2044,1806.32,Medium variant
24,2045,1824.403,Medium variant
24,2046,1842.231,Medium variant
24,2047,1859.833,Medium variant
24,2048,1877.227,Medium variant
24,2049,1894.412,Medium variant
24,2050,1911.378,Medium variant
24,2051,1928.104,Medium variant
24,2052,1944.533,Medium variant
24,2053,1960.609,Medium variant
24,2054,1976.287,Medium variant
24,2055,1991.524,Medium variant
24,2056,2006.284,Medium variant
24,2057,2020.56,Medium variant
