country_code,year,female_deaths
31,2047,65.01
31,2048,65.716
31,2049,66.329
31,2050,66.856
31,2051,67.305
31,2052,67.694
31,2053,68.039
31,2054,68.354
31,2055,68.655
31,2056,68.95
31,2057,69.241
31,2058,69.53
31,2059,69.821
31,2060,70.117
31,2061,70.417
31,2062,70.716
31,2063,71.007
31,2064,71.286
31,2065,71.553
31,2066,71.812
31,2067,72.058
31,2068,72.284
31,2069,72.477
31,2070,72.625
31,2071,72.714
31,2072,72.734
31,2073,72.671
31,2074,72.515
31,2075,72.247
31,2076,71.854
31,2077,71.34
31,2078,70.717
31,2079,70.0
31,2080,69.204
31,2081,68.346
31,2082,67.452
31,2083,66.552
31,2084,65.672
31,2085,64.833
31,2086,64.046
31,2087,63.317
31,2088,62.651
31,2089,62.064
31,2090,61.567
31,2091,61.169
31,2092,60.872
31,2093,60.679
31,2094,60.59
31,2095,60.605
31,2096,60.727
31,2097,60.953
31,2098,61.285
31,2099,61.722
32,1950,69.983
32,1951,69.759
32,1952,69.406
32,1953,69.244
32,1954,69.272
32,1955,69.492
32,1956,69.904
32,1957,70.507
32,1958,71.298
32,1959,72.277
32,1960,73.44
32,1961,74.776
32,1962,76.268
32,1963,77.888
32,1964,79.598
32,1965,81.351
32,1966,83.098
32,1967,84.811
32,1968,86.474
32,1969,88.079
32,1970,89.651
32,1971,91.235
32,1972,92.873
32,1973,94.577
32,1974,96.332
32,1975,98.073
32,1976,99.715
32,1977,101.199
32,1978,102.504
32,1979,103.654
32,1980,104.727
32,1981,105.84
32,1982,107.092
32,1983,108.544
32,1984,110.2
32,1985,112.015
32,1986,113.907
32,1987,115.763
32,1988,117.494
32,1989,119.063
32,1990,120.448
32,1991,121.655
32,1992,122.742
32,1993,123.769
32,1994,124.771
32,1995,125.793
32,1996,126.878
32,1997,128.043
32,1998,129.296
32,1999,130.64
32,2000,132.055
32,2001,133.508
32,2002,134.961
32,2003,136.385
32,2004,137.773
32,2005,139.132
32,2006,140.481
32,2007,141.848
32,2008,143.255
32,2009,144.71
32,2010,146.215
32,2011,147.765
32,2012,149.348
32,2013,150.95
32,2014,152.566
32,2015,154.194
32,2016,155.831
32,2017,157.478
32,2018,159.136
